Id конкурса;Обр. программы;Комментарий к конкурсу;Код НПС/УГСН;НПС/УГСН
22470;8291 - Музеология и охрана объектов культурного и природного наследия (с дополнительной квалификацией «Экскурсовод (гид)»);26\5324\1 ГБ очн Музеология и охрана объектов культурного и природного наследия, ОсК;8.51.03.04;философ
22471;8279 - Археология (с дополнительными квалификациями «Учитель истории и обществознания» / «Хранитель музейных ценностей» / «Специалист по учету музейных предметов»);26\5315\1 ИН ДОГ очн Археология, ДОГ;7.46.03.01;истфак
22472;8291 - Музеология и охрана объектов культурного и природного наследия (с дополнительной квалификацией «Экскурсовод (гид)»);26\5324\1 ГБ очн Музеология и охрана объектов культурного и природного наследия, ОтК;8.51.03.04;философ
22473;8211 - Химическое материаловедение (с дополнительной квалификацией «Специалист в области перевода научно-технической литературы»);26\5326\1 ДОГ очн Химическое материаловедение, ДОГ;1.04.03.02;химфак
22474;8194 - Прикладная математика, процессы управления и искусственный интеллект (с дополнительной квалификацией «Программист»);26\5329\1 ДОГ очн Прикладная математика, процессы управления и искусственный интеллект, ДОГ;1.01.03.02;пмпу
22475;8269 - Балканистика и сравнительно-сопоставительное языкознание (с дополнительными квалификациями «Учитель иностранного языка» / «Специалист в области перевода»);26\5250\1 ГБ очн Балканистика и сравнительно-сопоставительное языкознание, Б;7.45.03.02;филфак
22476;8281 - История России (с дополнительными квалификациями «Учитель истории и обществознания» / «Педагог дополнительного образования»);26\5312\1 ДОГ очн История России, ДОГ;7.46.03.01;истфак
22477;8282 - Философия (с дополнительными квалификациями «Учитель обществознания» / «Педагог дополнительного образования»);26\5321\1 ГБ очн Философия, Б;7.47.03.01;философ
22478;8289 - Теория и история искусств (с дополнительной квалификацией «Экскурсовод (гид)»);26\5316\1 ГБ очн Теория и история искусств, ОсК;8.50.03.03;истфак
22479;8290 - Культурология (с дополнительными квалификациями «Учитель обществознания» / «Педагог дополнительного образования»);26\5323\1 ГБ очн Культурология, ОсК;8.51.03.01;философ
22480;8211 - Химическое материаловедение (с дополнительной квалификацией «Специалист в области перевода научно-технической литературы»);26\5326\1 ГБ очн Химическое материаловедение, ОтК;1.04.03.02;химфак
22481;8290 - Культурология (с дополнительными квалификациями «Учитель обществознания» / «Педагог дополнительного образования»);26\5323\1 ДОГ очн Культурология, ДОГ;8.51.03.01;философ
22482;8290 - Культурология (с дополнительными квалификациями «Учитель обществознания» / «Педагог дополнительного образования»);26\5323\1 ГБ очн Культурология, ОтК;8.51.03.01;философ
22483;8280 - Всеобщая история (с дополнительными квалификациями «Учитель истории и обществознания» / «Педагог дополнительного образования»);26\5313\1 ГБ очн Всеобщая история, ОтК;7.46.03.01;истфак
22484;8282 - Философия (с дополнительными квалификациями «Учитель обществознания» / «Педагог дополнительного образования»);26\5321\1 ИН ДОГ очн Философия, ДОГ;7.47.03.01;философ
22485;8210 - Химия (с дополнительными квалификациями «Специалист в области перевода научно-технической литературы» / «Учитель химии»);26\5325\1 ИН ДОГ очн Химия, ДОГ;1.04.03.01;химфак
22486;8211 - Химическое материаловедение (с дополнительной квалификацией «Специалист в области перевода научно-технической литературы»);26\5326\1 ГБ очн Химическое материаловедение, Б;1.04.03.02;химфак
22487;8291 - Музеология и охрана объектов культурного и природного наследия (с дополнительной квалификацией «Экскурсовод (гид)»);26\5324\1 ГБ очн Музеология и охрана объектов культурного и природного наследия, Б;8.51.03.04;философ
