"Id конкурса";"Обр. программы";"Комментарий к конкурсу";"Код НПС/УГСН";"Доп.параметры"
106051;"52483 - Стратегические исследования";"25\5566\1 ДОГ очн_Стратегические исследования";"5.41.04.05";"межнар"
106052;"52655 - Христианская теология (с дополнительными квалификациями «Специалист в сфере национальных и религиозных отношений» / «Учитель обществознания»)";"25\6076\1 ДОГ очн_Христианская теология (с дополнительными квалификациями «Специалист в сфере национальных и религиозных отношений» / «Учитель обществ";"7.48.04.01";"тео"
106053;"52641 - Международная журналистика и мировая политика (с дополнительной квалификацией «Специалист по информационным ресурсам»)";"25\6061\1 ИН ДОГ очн_Международная журналистика и мировая политика (с дополнительной квалификацией «Специалист по информационным ресурсам»)";"5.42.04.02";"журнал"
106055;"52474 - Дипломатия Российской Федерации и зарубежных государств";"25\5557\1 ИН ДОГ очн_Дипломатия Российской Федерации и зарубежных государств";"5.41.04.05";"межнар"
106056;"52491 - Когнитивные исследования";"25\5618\1 ИН ДОГ очн_Когнитивные исследования";"8.50.04.01";"ики"
106057;"52596 - Иностранные языки и перевод в цифровых креативных практиках (кино, анимация, гейминг) (с дополнительными квалификациями «Педагог дополнительного образ";"25\6007\1 ДОГ очн_Иностранные языки и перевод в цифровых креативных практиках (кино, анимация, гейминг) (с дополнительными квалификациями «Педагог доп";"7.45.04.02";"филфак"
106058;"52531 - Политика и международные отношения стран Азии и Африки (с изучением языков Азии и Африки)";"25\5820\1 ДОГ очн_Политика и международные отношения стран Азии и Африки (с изучением языков Азии и Африки)";"5.58.04.01";"восточный"
106059;"52570 - Экономика и управление в сфере искусств";"25\5935\1 ИН ДОГ очн_Экономика и управление в сфере искусств";"5.38.04.01";"экфак"
106060;"52586 - Русский язык и русская культура в аспекте русского языка как иностранного (с дополнительной квалификацией «Педагог дополнительного образования»)";"25\5958\1 ДОГ очн_Русский язык и русская культура в аспекте русского языка как иностранного (с дополнительной квалификацией «Педагог дополнительного о";"7.45.04.02";"филфак"
106061;"52542 - Transnational Legal Practice (in English) / Юридическое сопровождение международного бизнеса (на английском языке)";"25\5848\1 ИН ДОГ очн_Transnational Legal Practice (in English) / Юридическое сопровождение международного бизнеса (на английском языке)";"5.40.04.01";"юрфак"
106062;"52673 - Экономика и управление на предприятии (с дополнительной квалификацией «Специалист по работе с инвестиционными проектами»)";"25\6098\1 ДОГ оз_Экономика и управление на предприятии (с дополнительной квалификацией «Специалист по работе с инвестиционными проектами»)";"5.38.04.01";"экфак"
106063;"52524 - Компьютерная и прикладная лингвистика";"25\5805\1 ИН ДОГ очн_Компьютерная и прикладная лингвистика";"7.45.04.02";"филфак"
106064;"52472 - Гражданский процесс, арбитражный процесс";"25\5552\1 ИН ДОГ очн_Гражданский процесс, арбитражный процесс";"5.40.04.01";"юрфак"
106065;"52638 - Клеточные и генетические технологии (с дополнительной квалификацией «Педагог дополнительного образования»)";"25\6058\1 ДОГ очн_Клеточные и генетические технологии (с дополнительной квалификацией «Педагог дополнительного образования»)";"1.06.04.01";"биофак"
106066;"52533 - Прикладная политология и этнополитические процессы в современном мире";"25\5825\1 ИН ДОГ очн_Прикладная политология и этнополитические процессы в современном мире";"5.41.04.04";"полит"
106067;"52512 - Физическая океанография и биопродуктивность океанов и морей (ФОБОС)";"25\5746\1 ДОГ очн_Физическая океанография и биопродуктивность океанов и морей (ФОБОС)";"1.05.04.04";"иноз"
106068;"52496 - Математическое обеспечение и администрирование информационных систем";"25\5665\1 ДОГ очн_Математическое обеспечение и администрирование информационных систем";"1.02.04.03";"мм"
106069;"52540 - Языки народов Азии и Африки";"25\5845\1 ИН ДОГ очн_Языки народов Азии и Африки";"5.58.04.01";"восточный"
106070;"52470 - Геоинформационное картографирование";"25\5523\1 ИН ДОГ очн_Геоинформационное картографирование";"1.05.04.03";"иноз"
106071;"52643 - Управление коммуникационными проектами в политике и бизнесе (с дополнительной квалификацией «Специалист по информационным ресурсам»)";"25\6063\1 ИН ДОГ очн_Управление коммуникационными проектами в политике и бизнесе (с дополнительной квалификацией «Специалист по информационным ресурса";"5.42.04.01";"журнал"
106072;"52502 - Медицинское и фармацевтическое право";"25\5700\1 ДОГ очн_Медицинское и фармацевтическое право";"5.40.04.01";"юрфак"
106073;"52488 - Международная торговая система (на английском языке)";"25\5598\1 ДОГ очн_Международная торговая система (на английском языке)";"5.38.04.01";"экфак"
106075;"52503 - Исламоведение";"25\5702\1 ИН ДОГ очн_Исламоведение";"5.58.04.01";"восточный"
106076;"52635 - Биология (с дополнительной квалификацией «Педагог дополнительного образования»)";"25\6055\1 ДОГ очн_Биология (с дополнительной квалификацией «Педагог дополнительного образования»)";"1.06.04.01";"биофак"
106078;"52465 - Математическое и информационное обеспечение экономической деятельности";"25\5505\1 ИН ДОГ очн_Математическое и информационное обеспечение экономической деятельности";"1.01.04.02";"пмпу"
106079;"52633 - Налоговое право и налоговое консультирование (с дополнительной квалификацией «Консультант по налогам и сборам»)";"25\6052\1 ДОГ очн_Налоговое право и налоговое консультирование (с дополнительной квалификацией «Консультант по налогам и сборам»)";"5.40.04.01";"юрфак"
106081;"52500 - Юридическая лингвистика";"25\5681\1 ДОГ очн_Юридическая лингвистика";"7.45.04.02";"филфак"
106082;"52544 - Философский дискурс современности";"25\5864\1 ИН ДОГ очн_Философский дискурс современности";"7.47.04.01";"философия"
106083;"52636 - Биоинформатика (с дополнительной квалификацией «Программист»)";"25\6056\1 ИН ДОГ очн_Биоинформатика (с дополнительной квалификацией «Программист»)";"1.06.04.01";"биофак"
106084;"52539 - Юрист в сфере нормотворческой деятельности";"25\5841\1 ИН ДОГ очн_Юрист в сфере нормотворческой деятельности";"5.40.04.01";"юрфак"
106085;"52492 - Учёт, анализ, аудит";"25\5632\1 ДОГ очн_Учёт, анализ, аудит";"5.38.04.01";"экфак"
106086;"52623 - Историческое исполнительство на органе, клавесине, карильоне (с дополнительной квалификацией «Педагог дополнительного образования»)";"25\6042\1 ДОГ очн_Историческое исполнительство на органе, клавесине, карильоне (с дополнительной квалификацией «Педагог дополнительного образования»)";"8.50.04.01";"фи"
106087;"52642 - Медиакоммуникации (с дополнительной квалификацией «Специалист по продвижению и распространению продукции средств массовой информации»)";"25\6062\1 ДОГ очн_Медиакоммуникации (с дополнительной квалификацией «Специалист по продвижению и распространению продукции средств массовой информации";"5.42.04.01";"журнал"
106088;"52494 - Теория игр и исследование операций";"25\5644\1 ДОГ очн_Теория игр и исследование операций";"1.01.04.02";"пмпу"
106089;"52475 - Европейские исследования";"25\5558\1 ИН ДОГ очн_Европейские исследования";"5.41.04.05";"межнар"
106091;"52653 - Музейное кураторство (с дополнительными квалификациями «Хранитель музейных ценностей» / «Специалист по учету музейных предметов»)";"25\6074\1 ДОГ очн_Музейное кураторство (с дополнительными квалификациями «Хранитель музейных ценностей» / «Специалист по учету музейных предметов»)";"8.51.04.04";"истфак"
106093;"52565 - Адвокатская деятельность";"25\5920\1 ДОГ очн_Адвокатская деятельность";"5.40.04.01";"юрфак"
106094;"52554 - Технологии искусственного интеллекта и Big Data";"25\5893\1 ДОГ очн_Технологии искусственного интеллекта и Big Data";"1.02.04.02";"пмпу"
106095;"52668 - Социология (с дополнительной квалификацией «Социолог: специалист по фундаментальным и прикладным социологическим исследованиям»)";"25\6093\1 ДОГ очн_Социология (с дополнительной квалификацией «Социолог: специалист по фундаментальным и прикладным социологическим исследованиям»)";"5.39.04.01";"соцфак"
